conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,72E+18;Sun Nov 12 09:59:08 +0000 2023;0;dulu suka lewat fyp tiktok trs mereka kyk ya walaupun mba tp lucu gt kaya sayang anaknya nunggu anaknya lahir taunya skrng bgini??? JIR GW GATAU KL ITU SATRIA YG DULU GUA TONTONIN SM NINDY AJG ;1,72E+18;;;in;;0;0;0;https://x.com/pwettydiary/status/1723641570296291442;1,50E+18;pwettydiary
1,72E+18;Fri Nov 10 16:40:52 +0000 2023;2;Khatam kasusnya si satria dari mulai awal ngehamilin anak org buat jd parasit selingkuh nafkah 500rb buat anaknya nindy nagih motor ke satria nyusrukin mobil org ke selokan event party bis nipu dengan berkedok anna delvey di bid ampe bali drama pacarnya hamil lagi.;1,72E+18;;;in;The great;0;1;1;https://x.com/avicennazs/status/1723017893678551509;7,27E+17;avicennazs
1,72E+18;Fri Nov 10 02:55:51 +0000 2023;0;Awal gue tau Satria-Nindy dari podcast ini nih. Gue suka banget host-nya bikin Satria-Nindy ngomong santai kalo gua jadi hostnya gua gak bisa menahan emosi wkakakak https://t.co/4udd6txsZT;1,72E+18;;racikan_twt;in;age 25 ⬆;0;0;0;https://x.com/racikan_twt/status/1722810272736489968;9,00E+17;racikan_twt
1,72E+18;Fri Nov 10 02:55:04 +0000 2023;7;Gua se-internet savvy itu apa gimana sih soale gue udah tau nama Satria Mahatir ini seproblematik ape dari dia sama Nindy jadi papa-mama muda. Maksud gua udah ada case gitu yang mayan rame ngape masih ada yang percaya sama ni orang ya???;1,72E+18;;;in;age 25 ⬆;0;1;1;https://x.com/racikan_twt/status/1722810074387857691;9,00E+17;racikan_twt
1,72E+18;Thu Nov 09 17:02:10 +0000 2023;0;@dyadaisyy @convomfs selama nikah yang biayain ortunya nindy dan tinggal di rumah nindy terus abis itu cere karena kelakuannya masih kayak bocah. udah lama tenggelem itu eh ke up lagi jadi malah ngasih rejeki ke satria bukan ke nindy nya;1,72E+18;;dyadaisyy;in;;0;0;0;https://x.com/gossenlaw/status/1722660863977697760;1,56E+18;gossenlaw
1,72E+18;Thu Nov 09 12:28:43 +0000 2023;0;SUMPAH NINDY LU NYESEL BANGET KAN PASTI DULU BISA SAMA SATRIA;1,72E+18;;;in;she/her;0;0;0;https://x.com/onmyrkive/status/1722592048019370372;1,44E+18;onmyrkive
1,72E+18;Thu Nov 09 01:10:55 +0000 2023;0;@holyjaaee ini tuh satria yang mantan suaminya nindy bukan si? ;1,72E+18;;;in;mostly abt 威神V;0;0;0;https://x.com/onyourxiao_/status/1722421473904882163;1,66E+18;onyourxiao_
1,72E+18;Wed Nov 08 13:12:09 +0000 2023;0;satria nindy siapa sih gue nongkrong di twt mulu tapi gatau ;1,72E+18;;;in;pluto;0;0;0;https://x.com/jaesuhpaws/status/1722240592548380683;9,89E+17;jaesuhpaws
1,72E+18;Wed Nov 08 04:54:21 +0000 2023;0;same makanya kmrn kagak ikut hype dan malah ga nonton video sama sekali bcs omg gua benci bgt satria dr jaman rame2 dia ngehamilin nindy nipu selingkuh dan problematik lainnya.;1,72E+18;;;in;she;0;1;0;https://x.com/maedariku28/status/1722115317764440364;1,66E+18;maedariku28
1,72E+18;Wed Nov 08 01:00:07 +0000 2023;1;ya allah nindy kok bisa ya punya anak sm satria;1,72E+18;;;in;Bekasi, Jawa Barat;0;1;0;https://x.com/nissinnwaffer/status/1722056368184504707;1,18E+18;nissinnwaffer
1,72E+18;Tue Nov 07 14:30:33 +0000 2023;0;@talodhy_ namanya satria mahatir - banyak bgt lagaknya wkwkwk awalnya naik krn hamilin anak org kaya (nindy) dan tanggung jawab sisanya banyak di tiktok :));1,72E+18;;talodhy_;in;under the hopes;0;0;0;https://x.com/sarrahvenezia/status/1721897934978171303;122852379;sarrahvenezia
1,72E+18;Tue Nov 07 11:44:37 +0000 2023;0;@ClockManiaX si satria ni ngehamilin anak orang (si nindy masi sekolah) akhirnya nikah tapi si cowo ni mokondo numpang idup doang sama si nindy. akhirnya cerai dan si satria viral lagi gara gara podcast bilang gamau punya pacar pake hp andro kek ;1,72E+18;;ClockManiaX;in;;0;1;0;https://x.com/wallahibroe/status/1721856175736750215;1,07E+18;wallahibroe
1,72E+18;Tue Nov 07 05:28:05 +0000 2023;5;@Me__Bibby @ladybloem @dprhiburanmalam Mantan istrinya. Dulu jaman pandemi prnah rame di sebuah podcast satria (ni orang) sm nindy yg hamil di luar nikah di usianya yg masih under 20. Satrianya malah masih 16 tahun. Trs nikah setahun kemudian ni berang be;1,72E+18;;Me__Bibby;in;;1;1;0;https://x.com/nowyoucatchme/status/1721761418415128738;7,44E+17;nowyoucatchme
1,72E+18;Mon Nov 06 07:13:23 +0000 2023;0;@xxILNdaily Itu satria yg mantan suaminya nindy tauga aku jg bru tau stlah haechan challenge;1,72E+18;;xxILNdaily;in;peacfully;0;0;0;https://x.com/centamark/status/1721425528199279089;1,25E+18;centamark
1,72E+18;Sun Oct 29 04:09:47 +0000 2023;0;@Heraloebss gue justru malah kasian ke nindy satria tuh kan jahat bgt anjir ke nindy knp cewe2 malah ngefans sm dia bkn kasian yg gmn2 gt loh tp emg pd gtau kelakuan satria ke nindy kahh;1,72E+18;;Heraloebss;in;;0;0;0;https://x.com/_____alsa/status/1718480222226665976;1,33E+18;_____alsa
1,72E+18;Mon Oct 23 15:11:36 +0000 2023;1;@nindy_sky @tanyakanrl Karena kondisi makin memburuk kita lanjutkan pembelajaran daring dan WFH sampai waktu yg tidak bisa ditentukan;1,72E+18;;SpillShopeeNow;in;19000;0;0;0;https://x.com/Satria_Wijaya87/status/1716472445081907270;1,30E+18;Satria_Wijaya87
1,71E+18;Mon Oct 16 01:31:05 +0000 2023;0;mirip nindy nya satria ya;1,71E+18;;peppercleapss;in;;0;0;0;https://x.com/peppercleapss/status/1713729242842927546;1,62E+18;peppercleapss
1,71E+18;Sun Oct 15 14:04:28 +0000 2023;0;emngnya gua mirip sama nindy mantan istrinya satria ya?;1,71E+18;;;in;;0;3;0;https://x.com/uzuinz/status/1713556448914104656;1,48E+18;uzuinz
1,71E+18;Sun Oct 15 10:30:53 +0000 2023;0;@uzuinz btw sekilas mirip mantan nya satria si nindy itu gak sihh ;1,71E+18;;uzuinz;in;east blue;0;1;0;https://x.com/namiswqnn/status/1713502699961078255;1,44E+18;namiswqnn
1,71E+18;Wed Oct 11 00:31:41 +0000 2023;0;nindy cakep bgt buset kok dulu mau sm satria si ;1,71E+18;;;in;public rant;0;0;0;https://x.com/lislahetlis/status/1711902354336039377;1,61E+18;lislahetlis
1,71E+18;Thu Sep 28 14:48:00 +0000 2023;0;selamat etey sah menjadi pacar baru satria mahathir menggantikan nindy. https://t.co/6WabPTt5j3;1,71E+18;https://pbs.twimg.com/media/F7Htcc3bUAAiG2K.jpg;HAIKYUUca;in;;7;1;0;https://x.com/HAIKYUUca/status/1707406811685585203;8,52E+17;HAIKYUUca
1,71E+18;Wed Sep 27 17:57:05 +0000 2023;0;@moormaidna yang gara baju buat alpha dari satria sm nindy di prelov itu??;1,71E+18;;moormaidna;in;;0;1;0;https://x.com/hwts4p/status/1707092007305597053;1,66E+18;hwts4p
1,71E+18;Wed Sep 27 00:30:18 +0000 2023;0;cewe cwe tolol ngapain si anjing muja satria problematic gt bego bgt lo di perlakuin kek nindy mampus lo anjing;1,71E+18;;;in;;0;0;0;https://x.com/jungcaandy/status/1706828576384000310;1,44E+18;jungcaandy
